x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002404	0.228474	[]
4	4	0x60243330	12	0.000963	0.095045	[]
4	4	0x6024333c	52	0.000903	0.439439	[]
4	4	0x60243370	16	0.000916	0.133266	[]
4	4	0x60c0935c	72	0.001087	0.505531	[]
4	4	0x60c093a4	12	0.000930	0.098442	[]
4	4	0x60c093b0	1396	0.001767	6.029069	[]
4	4	0x60c09924	12	0.000916	0.099980	[]
4	4	0x60c09930	24	0.000922	0.198614	[]
4	4	0x60c0a088	196	0.000928	1.610962	[]
4	4	0x60c0a1a4	4	0.000934	0.032687	[]
4	4	0x60c0a1a8	152	0.001052	1.102165	[]
4	4	0x60c0a244	4	0.000952	0.032057	[]
4	4	0x60c0a248	4	0.000855	0.035712	[]
4	4	0x60c0a260	24	0.000864	0.212010	[]
4	4	0x60c0a278	12	0.000874	0.104756	[]
