x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002448	0.224412	[]
4	4	0x60243330	12	0.001041	0.087914	[]
4	4	0x6024333c	52	0.001021	0.388716	[]
4	4	0x60243370	16	0.000966	0.126409	[]
4	4	0x60abfffc	72	0.000864	0.635518	[]
4	4	0x60ac0044	12	0.000983	0.093160	[]
4	4	0x60ac0050	1396	0.001626	6.550129	[]
4	4	0x60ac05c4	12	0.000867	0.105638	[]
4	4	0x60ac05d0	24	0.000896	0.204412	[]
4	4	0x60ac0d28	196	0.000857	1.745845	[]
4	4	0x60ac0e44	4	0.000875	0.034875	[]
4	4	0x60ac0e48	152	0.000838	1.384443	[]
4	4	0x60ac0ee4	4	0.000914	0.033403	[]
4	4	0x60ac0ee8	4	0.000836	0.036484	[]
4	4	0x60ac0f00	24	0.000891	0.205515	[]
4	4	0x60ac0f18	12	0.000826	0.110798	[]
