x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002296	0.239235	[]
4	4	0x60243330	12	0.001012	0.090444	[]
4	4	0x6024333c	108	0.001017	0.809977	[]
4	4	0x602433a8	12	0.000908	0.100792	[]
4	4	0x602433b4	24	0.000971	0.188633	[]
4	4	0x602433ec	132	0.000838	1.201272	[]
4	4	0x602434c8	4	0.000896	0.034066	[]
4	4	0x602434cc	8	0.000890	0.068569	[]
4	4	0x602434d4	4	0.000887	0.034399	[]
4	4	0x602434ec	24	0.000849	0.215632	[]
4	4	0x60243504	12	0.000875	0.104604	[]
4	4	0x60243518	72	0.000880	0.623953	[]
4	4	0x60243560	12	0.000892	0.102643	[]
4	4	0x6024356c	108	0.000829	0.994024	[]
4	4	0x602435d8	12	0.007257	0.012616	[]
4	4	0x602435e4	24	0.000856	0.213899	[]
4	4	0x6024361c	132	0.000880	1.144649	[]
4	4	0x602436f8	4	0.000829	0.036822	[]
4	4	0x602436fc	8	0.000845	0.072228	[]
4	4	0x60243704	4	0.000846	0.036092	[]
4	4	0x6024371c	24	0.000903	0.202805	[]
4	4	0x60243734	12	0.001089	0.084072	[]
4	4	0x60243748	72	0.000985	0.557563	[]
4	4	0x60243790	12	0.000789	0.115994	[]
4	4	0x6024379c	84	0.000791	0.810014	[]
4	4	0x602437f0	12	0.000732	0.125085	[]
4	4	0x602437fc	24	0.000866	0.211407	[]
4	4	0x60243834	132	0.001457	0.691370	[]
4	4	0x60243910	4	0.000860	0.035486	[]
4	4	0x60243914	8	0.000921	0.066275	[]
4	4	0x6024391c	4	0.000770	0.039626	[]
4	4	0x60243934	24	0.000901	0.203167	[]
4	4	0x6024394c	12	0.000768	0.119136	[]
4	4	0x60243960	72	0.000750	0.732609	[]
4	4	0x602439a8	12	0.000731	0.125211	[]
4	4	0x602439b4	116	0.000750	1.179936	[]
4	4	0x60243a28	12	0.000840	0.108999	[]
4	4	0x60243a34	24	0.000758	0.241471	[]
4	4	0x60243a6c	132	0.000753	1.338138	[]
4	4	0x60243b48	4	0.000730	0.041788	[]
4	4	0x60243b4c	8	0.000756	0.080716	[]
4	4	0x60243b54	4	0.000742	0.041145	[]
4	4	0x60243b6c	24	0.000725	0.252713	[]
4	4	0x60243b84	12	0.000757	0.120884	[]
4	4	0x60243b98	72	0.000746	0.736715	[]
4	4	0x60243be0	12	0.000784	0.116817	[]
4	4	0x60243bec	108	0.000838	0.983050	[]
4	4	0x60243c58	16	0.000828	0.147355	[]
4	4	0x60243c68	24	0.000764	0.239517	[]
4	4	0x60243ca0	132	0.000767	1.312225	[]
4	4	0x60243d7c	4	0.000833	0.036644	[]
4	4	0x60243d80	8	0.000789	0.077366	[]
4	4	0x60243d88	4	0.000829	0.036792	[]
4	4	0x60243da0	24	0.000751	0.243854	[]
4	4	0x60243db8	12	0.000757	0.120916	[]
4	4	0x60243dcc	72	0.000750	0.732420	[]
4	4	0x60243e14	12	0.000756	0.121126	[]
4	4	0x60243e20	100	0.000732	1.042059	[]
4	4	0x60243e84	12	0.000755	0.121246	[]
4	4	0x60243e90	24	0.000733	0.249889	[]
4	4	0x60243ec8	132	0.000756	1.332092	[]
4	4	0x60243fa4	4	0.000737	0.041415	[]
4	4	0x60243fa8	8	0.000731	0.083465	[]
4	4	0x60243fb0	4	0.000735	0.041496	[]
4	4	0x60243fc8	24	0.000820	0.223275	[]
4	4	0x60243fe0	12	0.000747	0.122578	[]
4	4	0x60243ff4	72	0.012753	0.043075	[]
4	4	0x6024403c	12	0.000756	0.121075	[]
4	4	0x60244048	96	0.000754	0.972023	[]
4	4	0x602440a8	12	0.000761	0.120342	[]
4	4	0x602440b4	24	0.000720	0.254408	[]
4	4	0x602440ec	132	0.000832	1.210433	[]
4	4	0x602441c8	4	0.000768	0.039758	[]
4	4	0x602441cc	8	0.000950	0.064229	[]
4	4	0x602441d4	4	0.000870	0.035088	[]
4	4	0x602441ec	24	0.000692	0.264720	[]
4	4	0x60244204	12	0.000677	0.135177	[]
4	4	0x60244218	72	0.000712	0.770995	[]
4	4	0x60244260	12	0.000691	0.132529	[]
4	4	0x6024426c	112	0.000685	1.248161	[]
4	4	0x602442dc	12	0.000676	0.135500	[]
4	4	0x602442e8	24	0.000753	0.243066	[]
4	4	0x60244320	132	0.000724	1.390741	[]
4	4	0x602443fc	4	0.000730	0.041821	[]
4	4	0x60244400	8	0.000677	0.090147	[]
4	4	0x60244408	4	0.000716	0.042608	[]
4	4	0x60244420	24	0.000705	0.259712	[]
4	4	0x60244438	12	0.000692	0.132360	[]
4	4	0x6024444c	72	0.000724	0.758272	[]
4	4	0x60244494	12	0.000681	0.134469	[]
4	4	0x602444a0	104	0.000670	1.185147	[]
4	4	0x60244508	12	0.000673	0.135953	[]
4	4	0x60244514	24	0.000678	0.270113	[]
4	4	0x6024454c	132	0.000729	1.380736	[]
4	4	0x60244628	4	0.000714	0.042713	[]
4	4	0x6024462c	8	0.000709	0.086128	[]
4	4	0x60244634	4	0.000665	0.045870	[]
4	4	0x6024464c	24	0.000681	0.268986	[]
4	4	0x60244664	12	0.000768	0.119250	[]
4	4	0x60244678	72	0.001078	0.509626	[]
4	4	0x602446c0	12	0.000626	0.146360	[]
4	4	0x602446cc	52	0.000630	0.629382	[]
4	4	0x60244700	16	0.000625	0.195214	[]
