x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002154	0.254970	[]
4	4	0x60243330	12	0.000931	0.098381	[]
4	4	0x6024333c	52	0.001042	0.380910	[]
4	4	0x60243370	16	0.000944	0.129312	[]
4	4	0x6050ce90	72	0.000970	0.566379	[]
4	4	0x6050ced8	12	0.000926	0.098913	[]
4	4	0x6050cee4	6836	0.004355	11.976104	[]
4	4	0x6050e998	12	0.000918	0.099677	[]
4	4	0x6050e9a4	24	0.000920	0.199134	[]
4	4	0x6050f00c	516	0.000949	4.148533	[]
4	4	0x6050f268	4	0.000806	0.037885	[]
4	4	0x6050f26c	404	0.000943	3.267462	[]
4	4	0x6050f400	4	0.000752	0.040608	[]
4	4	0x6050f424	24	0.000890	0.205636	[]
4	4	0x6050f43c	12	0.000786	0.116463	[]
