x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002558	0.214746	[]
4	4	0x60243330	12	0.001023	0.089469	[]
4	4	0x6024333c	52	0.000940	0.422165	[]
4	4	0x60243370	16	0.000962	0.126941	[]
4	4	0x60c0935c	72	0.001120	0.490428	[]
4	4	0x60c093a4	12	0.000934	0.098048	[]
4	4	0x60c093b0	1396	0.001583	6.726718	[]
4	4	0x60c09924	12	0.000843	0.108561	[]
4	4	0x60c09930	24	0.001036	0.176687	[]
4	4	0x60c0a088	196	0.000824	1.814076	[]
4	4	0x60c0a1a4	4	0.000866	0.035233	[]
4	4	0x60c0a1a8	152	0.000863	1.343514	[]
4	4	0x60c0a244	4	0.000948	0.032201	[]
4	4	0x60c0a248	4	0.000856	0.035660	[]
4	4	0x60c0a260	24	0.000829	0.220930	[]
4	4	0x60c0a278	12	0.001018	0.089904	[]
