x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002263	0.242723	[]
4	4	0x60243330	12	0.001011	0.090521	[]
4	4	0x6024333c	17444	0.010454	12.730208	[]
4	4	0x60247760	12	0.000845	0.108375	[]
4	4	0x6024776c	64	0.000877	0.556715	[]
4	4	0x602785ac	1140	0.001461	5.951361	[]
4	4	0x60278a78	4	0.000836	0.036511	[]
4	4	0x60278a7c	936	0.001212	5.892980	[]
4	4	0x60278e44	4	0.000829	0.036798	[]
4	4	0x60278e48	4	0.000888	0.034356	[]
4	4	0x60278f74	24	0.001067	0.171529	[]
4	4	0x60278f8c	68	0.000760	0.682748	[]
5	4	0x602432e8	72	0.000745	0.737330	[]
5	4	0x60243330	12	0.000932	0.098212	[]
5	4	0x6024333c	17444	0.008496	15.664100	[]
5	4	0x60247760	12	0.000724	0.126399	[]
5	4	0x6024776c	64	0.000910	0.536420	[]
5	4	0x602785ac	1140	0.001219	7.136284	[]
5	4	0x60278a78	4	0.000816	0.037422	[]
5	4	0x60278a7c	936	0.001438	4.966408	[]
5	4	0x60278e44	4	0.000734	0.041555	[]
5	4	0x60278e48	4	0.000669	0.045621	[]
5	4	0x60278f74	24	0.000809	0.226440	[]
5	4	0x60278f8c	68	0.001299	0.399394	[]
5	5	0x602432e8	72	0.000875	0.628110	[]
5	5	0x60243330	12	0.000635	0.144168	[]
5	5	0x6024333c	17444	0.006492	20.501499	[]
5	5	0x60247760	12	0.000610	0.150181	[]
5	5	0x6024776c	64	0.000586	0.832879	[]
5	5	0x602785ac	1140	0.000990	8.787370	[]
5	5	0x60278a78	4	0.000617	0.049500	[]
5	5	0x60278a7c	936	0.000822	8.688194	[]
5	5	0x60278e44	4	0.000593	0.051502	[]
5	5	0x60278e48	4	0.000588	0.051877	[]
5	5	0x60278f74	24	0.000577	0.317588	[]
5	5	0x60278f8c	68	0.000621	0.835887	[]
4	5	0x602432e8	72	0.000962	0.570849	[]
4	5	0x60243330	12	0.000666	0.137517	[]
4	5	0x6024333c	17444	0.004793	27.764563	[]
4	5	0x60247760	12	0.000561	0.163341	[]
4	5	0x6024776c	64	0.000570	0.856080	[]
4	5	0x602785ac	1140	0.000827	10.516267	[]
4	5	0x60278a78	4	0.000572	0.053345	[]
4	5	0x60278a7c	936	0.000783	9.120056	[]
4	5	0x60278e44	4	0.000564	0.054064	[]
4	5	0x60278e48	4	0.000611	0.049910	[]
4	5	0x60278f74	24	0.000552	0.331841	[]
4	5	0x60278f8c	68	0.000574	0.904135	[]
3	4	0x602432e8	72	0.000679	0.809301	[]
3	4	0x60243330	12	0.000701	0.130592	[]
3	4	0x6024333c	17444	0.004623	28.789196	[]
3	4	0x60247760	12	0.000668	0.137102	[]
3	4	0x6024776c	64	0.000616	0.792754	[]
3	4	0x6027695c	1140	0.000794	10.958252	[]
3	4	0x60276e28	4	0.000566	0.053911	[]
3	4	0x60276e2c	936	0.000747	9.555323	[]
3	4	0x602771f4	4	0.000572	0.053322	[]
3	4	0x602771f8	4	0.000521	0.058617	[]
3	4	0x60277324	24	0.000563	0.325339	[]
3	4	0x6027733c	68	0.000546	0.949684	[]
3	3	0x602432e8	72	0.000544	1.010678	[]
3	3	0x60243330	12	0.000577	0.158614	[]
3	3	0x6024333c	12004	0.003459	26.473465	[]
3	3	0x60246220	12	0.000552	0.165907	[]
3	3	0x6024622c	64	0.000624	0.782715	[]
3	3	0x6026ff7c	820	0.000828	7.552051	[]
3	3	0x60270308	4	0.000572	0.053321	[]
3	3	0x6027030c	936	0.000769	9.280247	[]
3	3	0x602706d4	4	0.000533	0.057301	[]
3	3	0x602706d8	4	0.000621	0.049144	[]
3	3	0x60270804	24	0.000571	0.320681	[]
3	3	0x6027081c	68	0.000553	0.938629	[]
4	3	0x602432e8	72	0.000558	0.985119	[]
4	3	0x60243330	12	0.000558	0.163980	[]
4	3	0x6024333c	3028	0.001214	19.023336	[]
4	3	0x60243f10	12	0.000562	0.162917	[]
4	3	0x60243f1c	64	0.000556	0.877486	[]
4	3	0x6025c28c	292	0.000647	3.441394	[]
4	3	0x6025c408	4	0.000563	0.054185	[]
4	3	0x6025c40c	936	0.000792	9.013359	[]
4	3	0x6025c7d4	4	0.000553	0.055235	[]
4	3	0x6025c7d8	4	0.000583	0.052347	[]
4	3	0x6025c904	24	0.000570	0.321102	[]
4	3	0x6025c91c	68	0.000547	0.947775	[]
6	4	0x602432e8	72	0.000558	0.983876	[]
6	4	0x60243330	12	0.000569	0.160954	[]
6	4	0x6024333c	52	0.000786	0.504715	[]
6	4	0x60243370	800	0.000815	7.490125	[]
6	4	0x60243690	16	0.000569	0.214621	[]
6	4	0x602436b8	4	0.000625	0.048791	[]
6	4	0x602436bc	12	0.000584	0.156831	[]
